tenant_slug,product_name,description,price_cpm,delivery_type,formats_json,targeting_json
netflix,Netflix International Hits Collection Package 44,Our International Hits Collection offers advertisers a curated slate of exclusive titles designed for binge worthy sessions. Engage audiences seeking distinguished selections and showcase your brand within a cinematic premium collection.,70,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Singapore""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix High Income Audience Pack Package 45,"Target your campaign with our High Income Audience Pack designed to capture a specific segment of the Netflix audience. This premium pack reaches viewers who align perfectly with your brand, ensuring your message lands with impact.",79,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""USA"", ""UK""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Emma Stone Package 46,Premium content meets star power with our Emma Stone spotlight package. Reach fans and enthusiasts worldwide who admire Emma Stone while aligning your brand with exclusive cinematic appeal.,43,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""France"", ""USA"", ""Australia""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Ozark Package 47,"An exclusive package around the hit series Ozark delivers cinematic storytelling and immersive engagement. Connect with devoted audiences who can't get enough of Ozark, and place your brand in a premium environment they trust.",52,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Singapore""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Family Favorites Package 48,Curate your message alongside our Family Favorites selection for a premium viewing experience. Reach genre lovers looking for compelling narratives and hook them with the cinematic feel only Netflix provides.,54,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Kids Entertainment Collection Package 49,Our Kids Entertainment Collection offers advertisers a curated slate of exclusive titles designed for binge worthy sessions. Engage audiences seeking distinguished selections and showcase your brand within a cinematic premium collection.,72,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""USA"", ""Germany""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Sports Fans Audience Pack Package 50,"Target your campaign with our Sports Fans Audience Pack designed to capture a specific segment of the Netflix audience. This premium pack reaches viewers who align perfectly with your brand, ensuring your message lands with impact.",55,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Jason Momoa Package 51,Premium content meets star power with our Jason Momoa spotlight package. Reach fans and enthusiasts worldwide who admire Jason Momoa while aligning your brand with exclusive cinematic appeal.,73,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""France"", ""Germany"", ""UK""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix The Crown Package 52,"An exclusive package around the hit series The Crown delivers cinematic storytelling and immersive engagement. Connect with devoted audiences who can't get enough of The Crown, and place your brand in a premium environment they trust.",42,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Germany"", ""UK"", ""Singapore""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Fantasy Epics Package 53,Curate your message alongside our Fantasy Epics selection for a premium viewing experience. Reach genre lovers looking for compelling narratives and hook them with the cinematic feel only Netflix provides.,59,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""France""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix International Hits Collection Package 54,Our International Hits Collection offers advertisers a curated slate of exclusive titles designed for binge worthy sessions. Engage audiences seeking distinguished selections and showcase your brand within a cinematic premium collection.,78,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK"", ""Australia"", ""Singapore""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix High Income Audience Pack Package 55,"Target your campaign with our High Income Audience Pack designed to capture a specific segment of the Netflix audience. This premium pack reaches viewers who align perfectly with your brand, ensuring your message lands with impact.",49,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""USA""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Will Smith Package 56,Premium content meets star power with our Will Smith spotlight package. Reach fans and enthusiasts worldwide who admire Will Smith while aligning your brand with exclusive cinematic appeal.,42,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Singapore""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Ozark Package 57,"An exclusive package around the hit series Ozark delivers cinematic storytelling and immersive engagement. Connect with devoted audiences who can't get enough of Ozark, and place your brand in a premium environment they trust.",69,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""France""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Family Favorites Package 58,Curate your message alongside our Family Favorites selection for a premium viewing experience. Reach genre lovers looking for compelling narratives and hook them with the cinematic feel only Netflix provides.,35,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK"", ""Singapore""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Kids Entertainment Collection Package 59,Our Kids Entertainment Collection offers advertisers a curated slate of exclusive titles designed for binge worthy sessions. Engage audiences seeking distinguished selections and showcase your brand within a cinematic premium collection.,69,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""France""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Sports Fans Audience Pack Package 60,"Target your campaign with our Sports Fans Audience Pack designed to capture a specific segment of the Netflix audience. This premium pack reaches viewers who align perfectly with your brand, ensuring your message lands with impact.",39,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Dwayne Johnson Package 61,Premium content meets star power with our Dwayne Johnson spotlight package. Reach fans and enthusiasts worldwide who admire Dwayne Johnson while aligning your brand with exclusive cinematic appeal.,59,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK"", ""Singapore"", ""Germany""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix The Crown Package 62,"An exclusive package around the hit series The Crown delivers cinematic storytelling and immersive engagement. Connect with devoted audiences who can't get enough of The Crown, and place your brand in a premium environment they trust.",44,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""France""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Fantasy Epics Package 63,Curate your message alongside our Fantasy Epics selection for a premium viewing experience. Reach genre lovers looking for compelling narratives and hook them with the cinematic feel only Netflix provides.,37,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""France"", ""USA"", ""Germany""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix International Hits Collection Package 64,Our International Hits Collection offers advertisers a curated slate of exclusive titles designed for binge worthy sessions. Engage audiences seeking distinguished selections and showcase your brand within a cinematic premium collection.,48,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""France"", ""UK""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix High Income Audience Pack Package 65,"Target your campaign with our High Income Audience Pack designed to capture a specific segment of the Netflix audience. This premium pack reaches viewers who align perfectly with your brand, ensuring your message lands with impact.",43,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""USA"", ""Australia"", ""UK""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Emma Stone Package 66,Premium content meets star power with our Emma Stone spotlight package. Reach fans and enthusiasts worldwide who admire Emma Stone while aligning your brand with exclusive cinematic appeal.,80,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Singapore"", ""UK""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Ozark Package 67,"An exclusive package around the hit series Ozark delivers cinematic storytelling and immersive engagement. Connect with devoted audiences who can't get enough of Ozark, and place your brand in a premium environment they trust.",52,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""France"", ""Australia"", ""Singapore""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Family Favorites Package 68,Curate your message alongside our Family Favorites selection for a premium viewing experience. Reach genre lovers looking for compelling narratives and hook them with the cinematic feel only Netflix provides.,50,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""France""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Kids Entertainment Collection Package 69,Our Kids Entertainment Collection offers advertisers a curated slate of exclusive titles designed for binge worthy sessions. Engage audiences seeking distinguished selections and showcase your brand within a cinematic premium collection.,76,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Australia"", ""France"", ""Germany""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Sports Fans Audience Pack Package 70,"Target your campaign with our Sports Fans Audience Pack designed to capture a specific segment of the Netflix audience. This premium pack reaches viewers who align perfectly with your brand, ensuring your message lands with impact.",62,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""USA"", ""France""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Jason Momoa Package 71,Premium content meets star power with our Jason Momoa spotlight package. Reach fans and enthusiasts worldwide who admire Jason Momoa while aligning your brand with exclusive cinematic appeal.,46,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""USA"", ""UK"", ""Australia""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix The Crown Package 72,"An exclusive package around the hit series The Crown delivers cinematic storytelling and immersive engagement. Connect with devoted audiences who can't get enough of The Crown, and place your brand in a premium environment they trust.",54,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Fantasy Epics Package 73,Curate your message alongside our Fantasy Epics selection for a premium viewing experience. Reach genre lovers looking for compelling narratives and hook them with the cinematic feel only Netflix provides.,74,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""USA"", ""Australia"", ""Germany""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix International Hits Collection Package 74,Our International Hits Collection offers advertisers a curated slate of exclusive titles designed for binge worthy sessions. Engage audiences seeking distinguished selections and showcase your brand within a cinematic premium collection.,35,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK"", ""France""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix High Income Audience Pack Package 75,"Target your campaign with our High Income Audience Pack designed to capture a specific segment of the Netflix audience. This premium pack reaches viewers who align perfectly with your brand, ensuring your message lands with impact.",62,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK"", ""Germany""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Will Smith Package 76,Premium content meets star power with our Will Smith spotlight package. Reach fans and enthusiasts worldwide who admire Will Smith while aligning your brand with exclusive cinematic appeal.,51,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""USA""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Ozark Package 77,"An exclusive package around the hit series Ozark delivers cinematic storytelling and immersive engagement. Connect with devoted audiences who can't get enough of Ozark, and place your brand in a premium environment they trust.",64,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""USA"", ""Germany"", ""Australia""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Family Favorites Package 78,Curate your message alongside our Family Favorites selection for a premium viewing experience. Reach genre lovers looking for compelling narratives and hook them with the cinematic feel only Netflix provides.,47,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Australia"", ""USA"", ""Singapore""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Kids Entertainment Collection Package 79,Our Kids Entertainment Collection offers advertisers a curated slate of exclusive titles designed for binge worthy sessions. Engage audiences seeking distinguished selections and showcase your brand within a cinematic premium collection.,40,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK"", ""Singapore"", ""USA""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Sports Fans Audience Pack Package 80,"Target your campaign with our Sports Fans Audience Pack designed to capture a specific segment of the Netflix audience. This premium pack reaches viewers who align perfectly with your brand, ensuring your message lands with impact.",42,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Germany""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Dwayne Johnson Package 81,Premium content meets star power with our Dwayne Johnson spotlight package. Reach fans and enthusiasts worldwide who admire Dwayne Johnson while aligning your brand with exclusive cinematic appeal.,63,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Australia"", ""UK""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix The Crown Package 82,"An exclusive package around the hit series The Crown delivers cinematic storytelling and immersive engagement. Connect with devoted audiences who can't get enough of The Crown, and place your brand in a premium environment they trust.",61,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Singapore""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Fantasy Epics Package 83,Curate your message alongside our Fantasy Epics selection for a premium viewing experience. Reach genre lovers looking for compelling narratives and hook them with the cinematic feel only Netflix provides.,52,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Germany""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix International Hits Collection Package 84,Our International Hits Collection offers advertisers a curated slate of exclusive titles designed for binge worthy sessions. Engage audiences seeking distinguished selections and showcase your brand within a cinematic premium collection.,72,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Australia"", ""Germany"", ""France""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix High Income Audience Pack Package 85,"Target your campaign with our High Income Audience Pack designed to capture a specific segment of the Netflix audience. This premium pack reaches viewers who align perfectly with your brand, ensuring your message lands with impact.",57,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""Singapore"", ""France"", ""Australia""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Emma Stone Package 86,Premium content meets star power with our Emma Stone spotlight package. Reach fans and enthusiasts worldwide who admire Emma Stone while aligning your brand with exclusive cinematic appeal.,45,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""France""], ""device_type_any_of"": [""CTV""]}"
netflix,Netflix Ozark Package 87,"An exclusive package around the hit series Ozark delivers cinematic storytelling and immersive engagement. Connect with devoted audiences who can't get enough of Ozark, and place your brand in a premium environment they trust.",74,guaranteed,"[""video"", ""ctv""]","{""geo_country_any_of"": [""UK"", ""Australia"", ""USA""], ""device_type_any_of"": [""CTV""]}"
