tenant_slug,product_name,description,price_cpm,delivery_type,formats,targeting_json
tiktok,TikTok Pets Story,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokPets movement with our pets sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,21.38,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Germany"", ""Australia"", ""Singapore""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Viral Dance,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokViral movement with our viral sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,24.35,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Germany"", ""USA"", ""Australia""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok DIY Duet,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokDIY movement with our diy sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,21.72,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Singapore"", ""UK"", ""Australia""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Gaming Tutorial,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokGaming movement with our gaming sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,23.75,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Australia"", ""Singapore"", ""UK""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Shopping Sound Bite,"🎥 LIVE & UNFILTERED! Take over TikTok shopping with your brand message reaching 500K+ real-time viewers. Perfect for product launches, announcements, or brand awareness. Our creators bring authenticity and engagement that traditional ads can't match. When TikTok goes shopping, your brand goes viral! 📱",15.35,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Singapore"", ""France"", ""USA""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Shopping Takeover,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokShopping movement with our shopping sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,15.17,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""USA"", ""Australia"", ""Singapore""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok DIY Live Stream,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok diy with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's diy culture. Make some noise! 🔊",21.23,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Singapore"", ""USA"", ""Australia""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Lifestyle Vlog,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokLifestyle movement with our lifestyle sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,20.3,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Singapore"", ""France"", ""UK""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Music Review,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok music with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's music culture. Make some noise! 🔊",19.79,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""France"", ""Singapore"", ""Australia""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Technology Tutorial,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokTechnology movement with our technology sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,19.03,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""UK"", ""USA"", ""Singapore""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Pets Vlog,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokPets movement with our pets sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,24.16,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""USA"", ""Germany"", ""UK""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Art Takeover,"🎥 LIVE & UNFILTERED! Take over TikTok art with your brand message reaching 500K+ real-time viewers. Perfect for product launches, announcements, or brand awareness. Our creators bring authenticity and engagement that traditional ads can't match. When TikTok goes art, your brand goes viral! 📱",15.15,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""USA"", ""Germany"", ""Australia""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Live Challenge,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokLive movement with our live sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,21.21,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Singapore"", ""USA"", ""Australia""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Fitness Duet,"🎥 LIVE & UNFILTERED! Take over TikTok fitness with your brand message reaching 500K+ real-time viewers. Perfect for product launches, announcements, or brand awareness. Our creators bring authenticity and engagement that traditional ads can't match. When TikTok goes fitness, your brand goes viral! 📱",17.49,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Australia"", ""France"", ""USA""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Business Tutorial,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok business with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's business culture. Make some noise! 🔊",24.86,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Singapore"", ""UK"", ""Germany""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Family Story,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokFamily movement with our family sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,16.07,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""UK"", ""France"", ""USA""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Art Challenge,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok art with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's art culture. Make some noise! 🔊",15.69,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Australia"", ""Singapore"", ""France""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Education Vlog,"🎥 LIVE & UNFILTERED! Take over TikTok education with your brand message reaching 500K+ real-time viewers. Perfect for product launches, announcements, or brand awareness. Our creators bring authenticity and engagement that traditional ads can't match. When TikTok goes education, your brand goes viral! 📱",18.1,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Germany"", ""Singapore"", ""France""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Gaming Takeover,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok gaming with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's gaming culture. Make some noise! 🔊",17.91,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Germany"", ""Australia"", ""France""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Fashion Challenge,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok fashion with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's fashion culture. Make some noise! 🔊",19.48,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Australia"", ""Singapore"", ""Germany""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Travel Duet,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokTravel movement with our travel sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,21.18,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Germany"", ""Singapore"", ""USA""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Entertainment Dance,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokEntertainment movement with our entertainment sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,15.88,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Singapore"", ""UK"", ""Germany""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Gaming Dance,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok gaming with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's gaming culture. Make some noise! 🔊",15.38,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""France"", ""Australia"", ""Singapore""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Travel Review,"🎥 LIVE & UNFILTERED! Take over TikTok travel with your brand message reaching 500K+ real-time viewers. Perfect for product launches, announcements, or brand awareness. Our creators bring authenticity and engagement that traditional ads can't match. When TikTok goes travel, your brand goes viral! 📱",24.53,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""UK"", ""Australia"", ""USA""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Travel Story,"🎥 LIVE & UNFILTERED! Take over TikTok travel with your brand message reaching 500K+ real-time viewers. Perfect for product launches, announcements, or brand awareness. Our creators bring authenticity and engagement that traditional ads can't match. When TikTok goes travel, your brand goes viral! 📱",24.0,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""USA"", ""Singapore"", ""Australia""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Shopping Tutorial,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokShopping movement with our shopping sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,18.27,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Germany"", ""USA"", ""UK""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Pets Challenge,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokPets movement with our pets sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,15.68,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Australia"", ""USA"", ""France""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Viral Review,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokViral movement with our viral sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,17.79,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""France"", ""Singapore"", ""Australia""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Business Vlog,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok business with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's business culture. Make some noise! 🔊",15.6,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Singapore"", ""France"", ""USA""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok DIY Challenge,"🎥 LIVE & UNFILTERED! Take over TikTok diy with your brand message reaching 500K+ real-time viewers. Perfect for product launches, announcements, or brand awareness. Our creators bring authenticity and engagement that traditional ads can't match. When TikTok goes diy, your brand goes viral! 📱",18.08,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Australia"", ""Germany"", ""Singapore""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Education Vlog,"🎥 LIVE & UNFILTERED! Take over TikTok education with your brand message reaching 500K+ real-time viewers. Perfect for product launches, announcements, or brand awareness. Our creators bring authenticity and engagement that traditional ads can't match. When TikTok goes education, your brand goes viral! 📱",15.52,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Australia"", ""France"", ""Germany""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Comedy Vlog,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokComedy movement with our comedy sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,23.33,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""USA"", ""France"", ""UK""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Sports Dance,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok sports with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's sports culture. Make some noise! 🔊",20.34,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""France"", ""UK"", ""Australia""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Health Review,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok health with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's health culture. Make some noise! 🔊",15.87,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Singapore"", ""USA"", ""UK""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Gaming Tutorial,🔥 VIRAL ALERT! Your brand in front of 1B+ creators! Join the #TikTokGaming movement with our gaming sponsorship. Perfect for brands wanting to tap into Gen Z's favorite platform. Reach millions of engaged users who love to discover new products through authentic creator content. Limited availability - get trending NOW! 🚀,23.29,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Singapore"", ""Germany"", ""France""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Viral Dance,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok viral with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's viral culture. Make some noise! 🔊",23.73,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Singapore"", ""UK"", ""USA""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Viral Duet,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok viral with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's viral culture. Make some noise! 🔊",18.78,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""UK"", ""Australia"", ""France""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Music Review,"🎥 LIVE & UNFILTERED! Take over TikTok music with your brand message reaching 500K+ real-time viewers. Perfect for product launches, announcements, or brand awareness. Our creators bring authenticity and engagement that traditional ads can't match. When TikTok goes music, your brand goes viral! 📱",15.75,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""UK"", ""USA"", ""Singapore""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Shopping Tutorial,"🎵 SOUND ON! Your brand becomes the soundtrack of TikTok shopping with our exclusive sponsorship. When creators use your branded content, millions hear your message. Perfect for brands wanting to be part of TikTok's shopping culture. Make some noise! 🔊",24.26,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""UK"", ""Germany"", ""Singapore""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
tiktok,TikTok Food Duet,"🎥 LIVE & UNFILTERED! Take over TikTok food with your brand message reaching 500K+ real-time viewers. Perfect for product launches, announcements, or brand awareness. Our creators bring authenticity and engagement that traditional ads can't match. When TikTok goes food, your brand goes viral! 📱",16.51,non_guaranteed,"[""video"", ""take_over""]","{""geo_country_any_of"": [""Germany"", ""Singapore"", ""USA""], ""device_type_any_of"": [""mobile"", ""tablet""]}"
